City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Keti Bandar,0,PK,1638730774,68,24.1447,67.4497,73.74,6.17
Naze,79,JP,1638730775,70,28.3667,129.4833,62.62,15.7
Cabo San Lucas,100,MX,1638730776,67,22.8909,-109.9124,84.51,1.99
Wuwei,37,CN,1638730778,34,37.9281,102.6414,30.11,5.23
Katsuura,100,JP,1638730779,73,35.1333,140.3,48.31,12.62
Bida,15,NG,1638730780,23,9.0833,6.0167,85.42,4.27
Bara,81,NG,1638730781,24,10.3744,10.7288,80.83,7.94
Leningradskiy,100,RU,1638730782,98,69.3833,178.4167,-2.7,11.9
Cockburn Town,49,TC,1638730240,75,21.4612,-71.1419,80.55,19.28
Nouadhibou,19,MR,1638730784,27,20.931,-17.0347,78.78,8.05
Arrondissement de Dreux,85,FR,1638730785,84,48.6667,1.25,41.43,16.53
Ulladulla,100,AU,1638730786,68,-35.35,150.4667,55.09,2.06
Dunedin,100,NZ,1638730787,66,-45.8742,170.5036,54.81,3
Manadhoo,64,MV,1638730789,75,5.7667,73.3833,82.42,10.22
Ongandjera,75,NA,1638730790,30,-17.8833,15.0667,84.87,8.52
Te Anau,77,NZ,1638730195,93,-45.4167,167.7167,43.83,6.02
Litherland,75,GB,1638730792,82,53.4699,-2.9981,43.79,6.91
Fairbanks,1,US,1638730632,76,64.8378,-147.7164,-9.02,0
Binzhou,100,CN,1638730794,57,37.3667,118.0167,41.95,3.27
Utete,100,TZ,1638730795,96,-7.986,38.758,73,3.31
College,100,US,1638730796,81,64.8569,-147.8028,-1.34,3.94
Alingsås,39,SE,1638730798,92,57.9303,12.5335,24.75,7.36
Qui Nhon,100,VN,1638730799,90,13.7667,109.2333,71.26,17.13
Kenai,100,US,1638730735,89,60.5544,-151.2583,16.14,9.33
Buchanan,69,LR,1638730822,80,5.8808,-10.0467,75.16,6.8
Ustka,100,PL,1638730829,92,54.5805,16.8619,35.51,20.49
Butaritari,100,KI,1638730831,81,3.0707,172.7902,82.02,13.98
Kurchum,100,KZ,1638730835,85,48.5722,83.6542,19.27,2.24
Bloomsburg,100,US,1638730836,42,41.0037,-76.4549,49.41,6.55
Andra,75,RU,1638730837,100,62.5147,65.8878,-17.72,3.2
Russell,75,US,1638730840,59,32.3502,-85.1999,74.37,5.75
Vao,100,NC,1638730841,82,-22.6667,167.4833,74.73,16.02
Luganville,28,VU,1638730842,83,-15.5333,167.1667,78.24,3.6
Faya,0,SA,1638730281,67,18.3851,42.4509,57.31,3.11
Kahului,100,US,1638730845,79,20.8947,-156.47,72.97,10.18
Nhulunbuy,100,AU,1638730846,89,-12.2333,136.7667,79.41,3.44
Sola,12,VU,1638730847,78,-13.8833,167.55,79.79,10.67
Kavieng,97,PG,1638730848,81,-2.5744,150.7967,81.86,9.31
Maningrida,99,AU,1638730255,77,-12.0667,134.2667,81.41,4.34
Nago,44,JP,1638730851,64,26.5881,127.9761,68.07,13.04
Almaznyy,100,RU,1638730852,96,48.0448,40.045,33.94,5.61
Kualakapuas,88,ID,1638730648,97,-3.0091,114.3876,78.96,4.88
Bredasdorp,100,ZA,1638730829,93,-34.5322,20.0403,63.28,5.39
Prince Albert,40,CA,1638730440,60,53.2001,-105.7677,-2.25,8.05
Port Moresby,75,PG,1638730623,100,-9.4431,147.1797,76.42,5.75
Klaksvík,45,FO,1638730273,57,62.2266,-6.589,32.92,6.11
Erenhot,0,CN,1638730859,60,43.6475,111.9767,22.59,6.11
Hobe Sound,75,US,1638730860,85,27.0595,-80.1364,78.98,8.05
Margate,99,GB,1638730865,84,51.3813,1.3862,43.7,5.01
Colón,13,PA,1638730867,78,9.3592,-79.9014,90.25,12.06
Lensk,100,RU,1638730868,95,60.7253,114.9278,-0.18,6.46
Torbay,75,CA,1638730401,63,47.6666,-52.7314,36.57,9.22
Khovd,100,MN,1638730329,58,48.0056,91.6419,18.82,1.14
Tasiilaq,97,GL,1638730872,83,65.6145,-37.6368,30.27,35.5
Camacha,75,PT,1638730873,77,33.0833,-16.3333,63.36,16.11
Berck,75,FR,1638730801,81,50.4,1.6,44.58,14.97
Hofn,100,IS,1638730875,73,64.2539,-15.2082,42.8,29.28
Markova,100,UA,1638730877,95,48.6758,24.4138,28.53,2.21
Souillac,40,MU,1638730878,73,-20.5167,57.5167,79.36,8.05
Chapais,100,CA,1638730879,84,49.7834,-74.8492,4.78,7.94
Ndioum,100,SN,1638730880,10,16.5129,-14.6471,89.2,9.64
Mmabatho,100,ZA,1638730881,80,-25.85,25.6333,65.62,5.06
Sainte-Anne-des-Monts,100,CA,1638730882,75,49.124,-66.4924,21.02,21.18
Carnarvon,0,AU,1638730883,73,-24.8667,113.6333,73.76,20.89
Severodvinsk,15,RU,1638730842,85,64.5635,39.8302,17.71,3.04
Guozhen,6,CN,1638730886,44,34.3659,107.359,45.07,4
Flin Flon,96,CA,1638730887,73,54.7682,-101.865,-6.92,10.76
Kapaa,40,US,1638730888,76,22.0752,-159.319,73.72,1.99
That Phanom,100,TH,1638730889,59,16.9364,104.7104,57.25,6.6
Geraldton,3,AU,1638730890,77,-28.7667,114.6,68.41,18.41
Ponta Delgada,75,PT,1638730891,63,37.7333,-25.6667,65.5,5.75
Riosucio,100,CO,1638730892,62,5.4216,-75.7032,72.03,0.81
Poum,7,NC,1638730894,79,-20.2333,164.0167,79.81,13.67
Kaitangata,100,NZ,1638730895,59,-46.2817,169.8464,51.93,4.88
Taft,0,IR,1638730896,34,31.7471,54.2088,42.75,2.3
Ndélé,95,CF,1638730897,25,8.4109,20.6473,82.87,4.41
Nuuk,75,GL,1638730849,68,64.1835,-51.7216,27.21,25.32
Westport,86,US,1638730836,46,41.1415,-73.3579,48.97,3
Qujing,65,CN,1638730900,90,25.4833,103.7833,45.37,1.97
Santa Maria,75,BR,1638730700,54,-29.6842,-53.8069,83.5,6.91
Harper,6,LR,1638730902,79,4.375,-7.7169,80.96,8.1
Tura,100,IN,1638730903,82,25.5198,90.2201,65.82,0.96
Petropavlovsk-Kamchatskiy,75,RU,1638730905,63,53.0452,158.6483,18.19,6.71
Hithadhoo,100,MV,1638730906,79,-0.6,73.0833,81.41,14.9
Gaurnadi,100,BD,1638730907,97,22.9667,90.2333,69.26,5.66
Madang,82,PG,1638730908,91,-5.2246,145.7966,77.27,1.45
Xinyu,0,CN,1638730870,57,27.8043,114.9334,48.54,2.57
Los Llanos de Aridane,75,ES,1638730893,70,28.6585,-17.9182,64.15,15.01
Gaomi,9,CN,1638730911,72,36.3833,119.7528,41,6.49
Kavaratti,80,IN,1638730912,70,10.5669,72.642,81.75,11.99
Danville,1,US,1638730913,39,36.586,-79.395,63.43,4
Inhambane,0,MZ,1638730914,81,-23.865,35.3833,78.73,15.48
Norman Wells,49,CA,1638730915,83,65.282,-126.8329,-17.09,5.06
City of Catbalogan,79,PH,1638730917,91,11.85,124.9167,70.41,4.63
Brae,100,GB,1638730918,65,60.3964,-1.353,40.91,9.78
Aragarças,100,BR,1638730919,63,-15.8975,-52.2508,85.42,6.69
Zhalantun,4,CN,1638730920,73,48,122.7167,22.15,13
Houma,40,US,1638730921,67,29.5958,-90.7195,80.01,9.22
Hualmay,100,PE,1638730922,79,-11.0964,-77.6139,69.64,10.25
Khatanga,100,RU,1638730923,96,71.9667,102.5,-15.81,11.88
Hambantota,40,LK,1638730901,100,6.1241,81.1185,75.54,2.3
Cap-Chat,100,CA,1638730926,73,49.1001,-66.6821,20.88,20.24
Acapulco de Juárez,0,MX,1638730927,59,16.8634,-99.8901,84.97,6.11
Shīeli,100,KZ,1638730928,69,44.1667,66.75,40.59,4.16
Sumenep,100,ID,1638730929,88,-7.0167,113.8667,77.9,4.14
East London,100,ZA,1638730930,98,-33.0153,27.9116,69.78,7.4
Thio,100,NC,1638730870,87,-21.6167,166.2167,73.36,10.78
Sinnamary,99,GF,1638730932,86,5.3833,-52.95,78.4,6.62
Strelka,100,RU,1638730934,95,58.0728,93.0344,27.3,10.96
Itarema,15,BR,1638730935,68,-2.9248,-39.9167,84.83,20.18
Olinda,40,BR,1638730639,74,-8.0089,-34.8553,83.93,8.05
Mezen',13,RU,1638730937,87,65.8522,44.24,11.08,6.76
Deputatsky,100,RU,1638730791,97,69.3,139.9,-21.24,2.17
Yeppoon,95,AU,1638730939,70,-23.1333,150.7333,73.18,14.79
Hamilton,1,US,1638730940,59,39.1834,-84.5333,57.24,1.01
Laguna,90,US,1638730941,93,38.421,-121.4238,71.44,3.44
Paoua,100,CF,1638730943,30,7.2427,16.4406,79.61,0.65
Sikeston,90,US,1638730856,100,36.8767,-89.5879,63.88,8.05
Atar,100,MR,1638730945,14,20.5169,-13.0499,76.21,10.85
Bata,100,GQ,1638730946,83,1.8639,9.7658,80.74,4.25
Severo-Kuril'sk,95,RU,1638730947,75,50.6789,156.125,31.12,24.99
Wajir,42,KE,1638730948,46,1.7471,40.0573,84.58,5.77
Port Elizabeth,100,ZA,1638730814,92,-33.918,25.5701,70.11,6.55
Yuzhno-Sukhokumsk,93,RU,1638730950,93,44.6581,45.6436,45.46,4.79
Poya,31,NC,1638730952,83,-21.35,165.15,77.54,4.99
Nome,100,US,1638730953,97,64.5011,-165.4064,28.17,26.46
Mayor Pablo Lagerenza,100,PY,1638730954,92,-19.9309,-60.7718,72.45,5.46
Jalu,0,LY,1638730955,57,29.0331,21.5482,59.4,5.93
Fortuna,90,US,1638730956,100,40.5982,-124.1573,50.32,0
Pisco,100,PE,1638730957,84,-13.7,-76.2167,70.02,5.64
Doka,0,SD,1638730959,22,13.5167,35.7667,81.05,9.73
Tuktoyaktuk,90,CA,1638730913,83,69.4541,-133.0374,-14.4,7.23
Nikolskoye,13,RU,1638730961,96,59.7035,30.7861,3.02,5.28
Alexandria,25,EG,1638730870,65,31.2156,29.9553,66.11,9.95
Pandan,95,PH,1638730963,81,14.0453,124.1694,76.12,14.14
Mazagão,88,BR,1638730964,76,-0.115,-51.2894,81.14,4.09
Wahpeton,90,US,1638730965,80,46.2652,-96.6059,34.02,21.85
Launceston,90,AU,1638730966,79,-41.45,147.1667,52.81,8.05
Nyaunglebin,28,MM,1638730968,86,17.95,96.7333,67.01,3.38
Karasjok,14,NO,1638730969,96,69.4719,25.5112,-2.09,6.93
Panama City,40,PA,1638730699,72,8.9936,-79.5197,90.18,5.75
Lavrentiya,100,RU,1638730971,98,65.5833,-171,30.31,18.25
Manyana,100,BW,1638730972,61,-23.4,21.7167,73.94,8.32
Zhangjiakou,5,CN,1638730973,50,40.81,114.8794,27.21,9.75
Srednekolymsk,70,RU,1638730974,99,67.45,153.6833,-48.64,4.92
Marsh Harbour,0,BS,1638730975,66,26.5412,-77.0636,78.35,13.15
Hervey Bay,4,AU,1638730976,92,-25.2986,152.8535,71.04,1.01
Ginir,4,ET,1638730977,38,7.1333,40.7,56.01,4.59
Ouargaye,0,BF,1638730979,12,11.5033,0.0572,85.46,4.79
Huarmey,100,PE,1638730980,78,-10.0681,-78.1522,70.65,10.74
Erzincan Province,75,TR,1638730981,93,39.75,39.5,29.5,2.3
Praia da Vitória,41,PT,1638730982,78,38.7333,-27.0667,62.76,4.79
Ayr,0,GB,1638730834,93,55.4627,-4.6339,32.2,5.75
Boa Vista,40,BR,1638730984,43,2.8197,-60.6733,93.18,13.8
Griffith,90,US,1638730985,89,41.5284,-87.4237,35.98,1.99
San Patricio,100,US,1638730986,62,28.017,-97.5169,84.61,17.72
Tautira,32,PF,1638730988,70,-17.7333,-149.15,84.22,17.72
Tetiiv,100,UA,1638730725,91,49.3767,29.6647,32.22,8.1
San Jose,90,US,1638730766,63,37.3394,-121.895,67.89,0
Krapivinskiy,100,RU,1638730991,92,54.9992,86.8133,28.04,8.34
Zhangye,13,CN,1638730878,39,38.9342,100.4517,31.01,6.96
Mahon,75,ES,1638730993,71,39.8885,4.2658,46.96,19.57
Samarai,100,PG,1638730994,78,-10.6167,150.6667,80.91,6.04
Yanam,7,IN,1638730995,88,16.7333,82.2167,75.6,3.29
Port Blair,2,IN,1638730996,72,11.6667,92.75,78.67,9.64
Lamar,90,US,1638730997,83,33.6668,-95.5836,74.35,18.41
Tezu,100,IN,1638730998,58,27.9167,96.1667,66.33,3.44
Vanderhoof,100,CA,1638731000,44,54.0166,-124.0198,24.96,5.5
Trincomalee,4,LK,1638731001,75,8.5711,81.2335,81.18,5.26
Broome,40,US,1638731002,58,42.2506,-75.833,43.21,1.99
Dingle,50,PH,1638731003,90,10.9995,122.6711,71.51,6.85
Pombia,0,IT,1638731004,82,45.653,8.6336,40.51,2.3
Ilulissat,75,GL,1638730842,51,69.2167,-51.1,33.82,16.11
Ereymentau,100,KZ,1638731006,82,51.6199,73.1033,28.83,9.73
Narsaq,100,GL,1638730841,83,60.9167,-46.05,28.62,6.89
Haines Junction,99,CA,1638731008,99,60.7522,-137.5108,-7.78,1.92
Canutama,100,BR,1638731009,85,-6.5339,-64.3831,82.69,3.18
Paamiut,100,GL,1638731010,66,61.994,-49.6678,26.6,22.03
Princeton,1,US,1638731012,68,25.5384,-80.4089,84,11.5
Dabat,0,ET,1638731013,31,12.9842,37.765,55.99,1.99
Pitimbu,54,BR,1638731014,73,-7.4706,-34.8086,84.79,12.93
Aksarka,42,RU,1638731015,97,66.5606,67.7975,-21.1,12.73
Briançon,67,FR,1638731016,97,44.9,6.65,25.75,3.44
Solnechnyy,100,RU,1638731017,92,50.7214,136.6319,10.06,5.19
Ukiah,1,US,1638731018,60,39.1502,-123.2078,71.44,3.44
Cuamba,94,MZ,1638731019,37,-14.8031,36.5372,80.04,3.65
Lubango,51,AO,1638730808,79,-14.9172,13.4925,61.52,1.97
Vīsāvadar,0,IN,1638731021,55,21.3833,70.6833,71.56,5.5
Lompoc,1,US,1638731023,63,34.6391,-120.4579,77.09,14
Manta,75,EC,1638731024,78,-0.95,-80.7333,80.38,11.5
Apúlia,39,PT,1638731025,84,41.4851,-8.7641,52.3,14.34
Sittwe,6,MM,1638731026,78,20.15,92.9,77.7,4.14
Vila Velha,20,BR,1638730992,79,-20.3297,-40.2925,82.35,7
Padang,99,ID,1638731028,87,-0.9492,100.3543,76.77,2.46
Marmaris,100,TR,1638731029,81,36.855,28.2742,62.11,5.32
Aginskoye,39,RU,1638731030,85,51.1,114.53,13.06,6.13
Petrolina de Goiás,100,BR,1638731032,72,-16.095,-49.3381,86.16,3
Makakilo City,90,US,1638731033,84,21.3469,-158.0858,71.35,0
Leshukonskoye,18,RU,1638731034,96,64.8989,45.7622,6.93,4.18
Vanavara,100,RU,1638731036,96,60.34,102.2797,4.64,3.85
Malaya Serdoba,2,RU,1638731037,66,52.4661,44.9512,27.93,5.61
Mango,40,US,1638731039,57,27.9797,-82.3065,83.05,6.91
Wanning,27,CN,1638731040,74,18.8003,110.3967,63.01,9.26
Wattegama,1,LK,1638731042,96,6.7989,81.4808,74.32,1.45
Nanortalik,78,GL,1638730841,61,60.1432,-45.2371,28.36,25.3
Puerto Palomas,0,MX,1638731044,20,31.7667,-107.6167,65.53,8.43
Mlimba,92,TZ,1638731046,92,-8.8,35.8167,73.9,1.68
Vilhena,100,BR,1638730869,89,-12.7406,-60.1458,77.49,1.36
Le Port,17,RE,1638730864,79,-20.9373,55.2919,78.8,6.8
Arkhara,98,RU,1638731049,99,49.4212,130.0842,11.48,3.4
Bonavista,97,CA,1638731051,59,48.6499,-53.1147,35.11,15.21
Novochernorechenskiy,100,RU,1638731052,94,56.2669,91.0828,24.87,11.68
San Cristobal,49,VE,1638731004,42,7.7669,-72.225,82.58,6.73
Philadelphia,93,US,1638730810,35,39.9523,-75.1638,55.11,1.99
Constitución,3,CL,1638731055,52,-35.3333,-72.4167,70.9,6.13
Cruz do Espírito Santo,75,BR,1638731056,70,-7.14,-35.0864,84.76,12.66
Lādnūn,2,IN,1638731057,66,27.65,74.3833,62.8,1.1
Dumas,1,US,1638731058,20,35.8656,-101.9732,72.75,14.97
Tuatapere,100,NZ,1638731059,81,-46.1333,167.6833,46.81,2.95
Waipawa,100,NZ,1638731061,96,-41.4122,175.5153,53.46,9.24
Kirakira,100,SB,1638731062,84,-10.4544,161.9205,80.17,3.4
Polson,16,US,1638731063,58,47.6936,-114.1632,33.12,10
São João da Barra,4,BR,1638731064,76,-21.6403,-41.0511,77.25,14.79
Arlit,5,NE,1638731065,15,18.7369,7.3853,73.17,9.62
Majene,100,ID,1638731066,86,-3.5403,118.9707,76.84,5.35
Yelovo,98,RU,1638731067,79,57.0538,54.9207,9.88,8.72
Sayyan,0,YE,1638731068,32,15.1718,44.3244,50.63,2.64
Haapiti,38,PF,1638731069,67,-17.5667,-149.8667,83.93,17.13
Cedar City,1,US,1638731070,31,37.6775,-113.0619,56.39,3.44
Ust-Tsilma,77,RU,1638731072,99,65.441,52.1498,3.38,3.24
Bethel,1,US,1638730966,39,41.3712,-73.414,46.99,1.01
Nátaga,87,CO,1638731074,62,2.5436,-75.8085,75.88,2.3
Rabo de Peixe,75,PT,1638731075,96,37.8,-25.5833,64.27,5.75
Lagoa,21,PT,1638731076,74,39.05,-27.9833,63.25,11.5
São Filipe,44,CV,1638731077,71,14.8961,-24.4956,76.37,12.35
Scarborough,36,GB,1638731078,84,54.2797,-0.4044,43.92,1.99
Seminole,20,US,1638731079,64,28.7086,-81.2081,82.15,6.91
Carballo,99,ES,1638731081,89,43.213,-8.691,54.55,5.91
Farmington,1,US,1638731082,36,36.7281,-108.2187,60.21,8.05
Kouroussa,1,GN,1638731083,20,10.65,-9.8833,80.89,2.73
Faanui,84,PF,1638731084,73,-16.4833,-151.75,80.46,17.09
Leer,20,SS,1638731085,27,8.3018,30.1418,83.35,5.59
Xining,2,CN,1638731086,41,36.6167,101.7667,26.83,0.63
Gamboma,100,CG,1638731087,75,-1.8764,15.8644,77.65,3.22
Kokopo,100,PG,1638731088,88,-4.352,152.2633,76.55,2.48
Camocim,20,BR,1638731090,64,-2.9022,-40.8411,87.35,21.39
Ammon,1,US,1638731091,57,43.4696,-111.9666,45.95,3
Katima Mulilo,100,NA,1638731092,77,-17.5,24.2667,70.21,4.56
Lebu,0,CL,1638731093,61,-37.6167,-73.65,65.05,13.58
Taltal,27,CL,1638730891,61,-25.4,-70.4833,68.61,7.29
Kaseda-shirakame,98,JP,1638731095,73,31.4167,130.3167,52.38,7.36
La Palma,90,US,1638730880,92,33.8464,-118.0467,76.1,0
Dalbandin,0,PK,1638731097,40,28.8947,64.4101,53.1,7.43
Hefei,0,CN,1638730810,46,31.8639,117.2808,47.79,2.84
Biak,100,ID,1638731100,86,-0.9131,122.8766,76.48,7.94
Lüderitz,0,NA,1638731102,83,-26.6481,15.1594,62.85,14.74
Lexington,1,US,1638731106,56,37.9887,-84.4777,66.42,3
Anadyr,100,RU,1638731051,85,64.75,177.4833,14,31
Canguçu,96,BR,1638731110,69,-31.395,-52.6756,70.81,9.8
